dly pw_up pw_down
0u 9.078172e-02 9.078634e-02
1.008064u 2.747977e-05 5.405789e-01
2.016129u 2.737330e-05 5.079452e-01
3.024193u 2.736613e-05 4.752639e-01
4.032258u 2.719421e-05 4.426745e-01
5.040322u 2.712105e-05 4.099593e-01
6.048387u 2.705522e-05 3.772373e-01
7.056451u 2.699135e-05 3.357252e-01
8.064516u 2.693327e-05 2.921622e-01
9.072580u 2.687799e-05 2.486361e-01
10.080645u 2.587466e-05 2.050479e-01
11.088709u 2.547552e-05 1.614901e-01
12.096774u 2.496485e-05 1.179324e-01
13.104838u 2.426421e-05 8.125183e-02
14.112903u 2.318873e-05 4.858472e-02
15.120967u 2.234692e-05 1.591885e-02
16.129032u 1.591548e-02 2.234256e-05
17.137096u 4.857840e-02 2.318595e-05
18.145161u 8.124787e-02 2.426311e-05
19.153225u 1.138942e-01 2.496243e-05
20.161290u 1.465670e-01 2.547496e-05
21.169354u 1.792452e-01 2.587606e-05
22.177419u 2.119112e-01 2.687689e-05
23.185483u 2.445506e-01 2.693198e-05
24.193548u 2.772172e-01 2.699011e-05
25.201612u 3.098806e-01 2.705246e-05
26.209677u 3.425433e-01 2.712039e-05
27.217741u 3.752054e-01 2.719564e-05
28.225806u 4.078893e-01 2.736433e-05
29.233870u 4.405295e-01 2.737251e-05
30.241935u 4.731879e-01 2.747773e-05
31.250000u 9.078077e-02 9.078669e-02
