dly pw_up pw_down
0u 1.837496e-05 1.837522e-05
1.008064u 1.799514e-05 5.406686e-01
2.016129u 1.793702e-05 5.079561e-01
3.024193u 1.787185e-05 4.753896e-01
4.032258u 1.780618e-05 4.426746e-01
5.040322u 1.772830e-05 4.099544e-01
6.048387u 1.765420e-05 3.774045e-01
7.056451u 1.758339e-05 3.357885e-01
8.064516u 1.750272e-05 2.922403e-01
9.072580u 1.740395e-05 2.486921e-01
10.080645u 1.727862e-05 2.051438e-01
11.088709u 1.710954e-05 1.615956e-01
12.096774u 1.687521e-05 1.180474e-01
13.104838u 1.653087e-05 8.131503e-02
14.112903u 1.609451e-05 4.865381e-02
15.120967u 1.469017e-05 1.599618e-02
16.129032u 1.599279e-02 1.468711e-05
17.137096u 4.865966e-02 1.609641e-05
18.145161u 8.133140e-02 1.653413e-05
19.153225u 1.139798e-01 1.687777e-05
20.161290u 1.466539e-01 1.711350e-05
21.169354u 1.793332e-01 1.728399e-05
22.177419u 2.119869e-01 1.740824e-05
23.185483u 2.446520e-01 1.750704e-05
24.193548u 2.773173e-01 1.758775e-05
25.201612u 3.099900e-01 1.765594e-05
26.209677u 3.426567e-01 1.772716e-05
27.217741u 3.753233e-01 1.780650e-05
28.225806u 4.079731e-01 1.787291e-05
29.233870u 4.406349e-01 1.793497e-05
30.241935u 4.732593e-01 1.799302e-05
31.250000u 1.837506e-05 1.837523e-05
