dly pw_up pw_down
0u 1.822240e-05 1.822270e-05
1.008064u 3.008334e-05 6.608312e-01
2.016129u 2.985366e-05 6.208367e-01
3.024193u 2.959796e-05 5.809703e-01
4.032258u 2.934323e-05 5.409917e-01
5.040322u 2.924623e-05 5.011930e-01
6.048387u 2.917418e-05 4.610741e-01
7.056451u 2.921773e-05 4.104484e-01
8.064516u 3.004769e-05 3.572133e-01
9.072580u 2.907313e-05 3.039843e-01
10.080645u 2.890880e-05 2.507529e-01
11.088709u 2.987447e-05 1.975237e-01
12.096774u 2.779718e-05 1.442920e-01
13.104838u 2.710807e-05 9.938138e-02
14.112903u 2.611457e-05 5.946280e-02
15.120967u 2.471825e-05 1.955370e-02
16.129032u 1.955444e-02 2.471920e-05
17.137096u 5.945510e-02 2.611208e-05
18.145161u 9.937653e-02 2.710674e-05
19.153225u 1.393059e-01 2.780058e-05
20.161290u 1.792001e-01 2.987355e-05
21.169354u 2.191330e-01 2.890991e-05
22.177419u 2.590450e-01 2.907336e-05
23.185483u 2.989622e-01 3.004849e-05
24.193548u 3.388854e-01 2.921821e-05
25.201612u 3.788057e-01 2.916893e-05
26.209677u 4.187266e-01 2.924887e-05
27.217741u 4.586468e-01 2.934166e-05
28.225806u 4.985692e-01 2.959841e-05
29.233870u 5.384858e-01 2.985207e-05
30.241935u 5.784054e-01 3.008492e-05
31.250000u 1.822240e-05 1.822270e-05
