dly pw_up pw_down
0u 5.056208e-01 5.730256e-01
1.008064u 1.122811e-06 5.407170e-01
2.016129u 1.018739e-06 5.079099e-01
3.024193u 1.090644e-06 4.752950e-01
4.032258u 1.085434e-06 4.427355e-01
5.040322u 1.061717e-06 4.100196e-01
6.048387u 1.035859e-06 3.772956e-01
7.056451u 1.005789e-06 3.357861e-01
8.064516u 9.742736e-07 2.922307e-01
9.072580u 9.383755e-07 2.486754e-01
10.080645u 8.948617e-07 2.051199e-01
11.088709u 8.446961e-07 1.615644e-01
12.096774u 7.857494e-07 1.180088e-01
13.104838u 7.166701e-07 8.131494e-02
14.112903u 6.247920e-07 4.864770e-02
15.120967u 4.303187e-07 1.598012e-02
16.129032u 1.598074e-02 4.303372e-07
17.137096u 4.864139e-02 6.247137e-07
18.145161u 8.131097e-02 7.166371e-07
19.153225u 1.139855e-01 7.875048e-07
20.161290u 1.466285e-01 8.463263e-07
21.169354u 1.793052e-01 8.965682e-07
22.177419u 2.119527e-01 9.400124e-07
23.185483u 2.446147e-01 9.759201e-07
24.193548u 2.772767e-01 1.007446e-06
25.201612u 3.099388e-01 1.035702e-06
26.209677u 3.426010e-01 1.061649e-06
27.217741u 3.752630e-01 1.085455e-06
28.225806u 4.079249e-01 1.090489e-06
29.233870u 4.405606e-01 1.800885e-06
30.241935u 4.732488e-01 1.122828e-06
31.250000u 5.056210e-01 5.730256e-01
