dly pw_up pw_down
0u 4.161022e-05 4.201205e-05
1.008064u 2.901498e-05 6.008981e-01
2.016129u 2.889862e-05 5.645567e-01
3.024193u 2.877129e-05 5.282094e-01
4.032258u 2.862731e-05 4.920330e-01
5.040322u 2.847808e-05 4.556828e-01
6.048387u 2.831577e-05 4.193265e-01
7.056451u 3.957364e-05 3.732876e-01
8.064516u 2.794009e-05 3.248626e-01
9.072580u 2.772534e-05 2.764641e-01
10.080645u 2.748883e-05 2.280660e-01
11.088709u 2.722681e-05 1.796684e-01
12.096774u 2.693533e-05 1.312712e-01
13.104838u 3.583669e-05 9.047058e-02
14.112903u 2.619724e-05 5.414980e-02
15.120967u 2.557642e-05 1.785196e-02
16.129032u 1.784818e-02 2.557173e-05
17.137096u 5.414277e-02 2.619426e-05
18.145161u 9.046590e-02 3.565313e-05
19.153225u 1.267176e-01 2.693285e-05
20.161290u 1.630208e-01 2.722623e-05
21.169354u 1.993301e-01 2.749018e-05
22.177419u 2.356249e-01 2.772653e-05
23.185483u 2.719205e-01 2.794120e-05
24.193548u 3.082421e-01 3.946093e-05
25.201612u 3.445117e-01 2.831581e-05
26.209677u 3.808075e-01 2.848017e-05
27.217741u 4.171031e-01 2.863148e-05
28.225806u 4.533987e-01 2.877123e-05
29.233870u 4.896938e-01 2.890059e-05
30.241935u 5.259892e-01 2.901903e-05
31.250000u 4.161022e-05 4.201204e-05
