dly pw_up pw_down
0u 3.147590e-05 3.147969e-05
1.008064u 2.215358e-05 6.607513e-01
2.016129u 2.210510e-05 6.209418e-01
3.024193u 2.205993e-05 5.809611e-01
4.032258u 2.201239e-05 5.409740e-01
5.040322u 2.195700e-05 5.011853e-01
6.048387u 2.190425e-05 4.611957e-01
7.056451u 2.184198e-05 4.103491e-01
8.064516u 2.178110e-05 3.571232e-01
9.072580u 2.171549e-05 3.038974e-01
10.080645u 2.164386e-05 2.506715e-01
11.088709u 2.156377e-05 1.974458e-01
12.096774u 2.147663e-05 1.442200e-01
13.104838u 2.136593e-05 9.935510e-02
14.112903u 2.120803e-05 5.943583e-02
15.120967u 2.084619e-05 1.952088e-02
16.129032u 1.951675e-02 2.084183e-05
17.137096u 5.944298e-02 2.121049e-05
18.145161u 9.937510e-02 2.137011e-05
19.153225u 1.392788e-01 2.147976e-05
20.161290u 1.792139e-01 2.156864e-05
21.169354u 2.191554e-01 2.165048e-05
22.177419u 2.590639e-01 2.172061e-05
23.185483u 2.989880e-01 2.178625e-05
24.193548u 3.389121e-01 2.184716e-05
25.201612u 3.788362e-01 2.190466e-05
26.209677u 4.187603e-01 2.195917e-05
27.217741u 4.586844e-01 2.201092e-05
28.225806u 4.986085e-01 2.206024e-05
29.233870u 5.385325e-01 2.210718e-05
30.241935u 5.784565e-01 2.215201e-05
31.250000u 3.147590e-05 3.147969e-05
