dly pw_up pw_down
0u 7.626510e-09 7.841052e-09
1.008064u 5.513943e-07 5.401990e-01
2.016129u 4.921465e-07 4.928798e-07
3.024193u 4.609148e-07 4.616776e-07
4.032258u 4.045539e-07 4.422169e-01
5.040322u 3.984179e-07 3.992086e-07
6.048387u 3.673983e-07 3.684422e-07
7.056451u 1.146295e-06 3.348655e-01
8.064516u 2.833698e-07 2.982548e-07
9.072580u 2.418786e-07 2.567077e-07
10.080645u 4.675362e-07 2.043517e-01
11.088709u 1.591214e-07 1.737126e-07
12.096774u 1.177197e-07 1.320651e-07
13.104838u 8.559994e-08 8.593469e-08
14.112903u 5.462754e-08 5.494827e-08
15.120967u 2.342390e-08 2.372431e-08
16.129032u 2.766328e-08 2.460918e-08
17.137096u 6.687220e-08 5.836222e-08
18.145161u 1.056062e-07 9.175348e-08
19.153225u 1.451890e-07 1.257796e-07
20.161290u 1.843629e-07 1.595002e-07
21.169354u 2.921445e-07 2.520859e-07
22.177419u 2.657766e-07 2.220855e-07
23.185483u 3.049691e-07 2.558467e-07
24.193548u 2.767626e-01 6.489373e-07
25.201612u 3.834376e-07 3.234339e-07
26.209677u 4.226771e-07 3.572293e-07
27.217741u 1.232052e-06 1.052569e-06
28.225806u 4.983336e-07 4.298804e-07
29.233870u 5.379020e-07 4.639598e-07
30.241935u 4.727618e-01 4.471635e-07
31.250000u 7.610837e-09 7.811677e-09
