dly pw_up pw_down
0u 5.18833e-01 5.60627e-01
.496031u 5.03220e-01 3.89680e-04
.992063u 4.86616e-01 2.95438e-04
1.488095u 4.70164e-01 3.43750e-04
1.984126u 4.53539e-01 2.19128e-04
2.480158u 4.37072e-01 2.30298e-04
2.976190u 4.20699e-01 2.99722e-04
3.472222u 4.04202e-01 2.83967e-04
3.968253u 3.87601e-01 2.28196e-04
4.464285u 3.71178e-01 2.62348e-04
4.960317u 3.54647e-01 2.29267e-04
5.456349u 3.38205e-01 2.62574e-04
5.952380u 3.21798e-01 3.01105e-04
6.448412u 3.05183e-01 2.27916e-04
6.944444u 2.88752e-01 2.56733e-04
7.440476u 2.72221e-01 2.28205e-04
7.936507u 2.55939e-01 3.74382e-04
8.432539u 2.39374e-01 2.99258e-04
8.928571u 2.22759e-01 2.27153e-04
9.424603u 2.06443e-01 3.41984e-04
9.920634u 1.89918e-01 2.92849e-04
10.416666u 0.00000e+00 0.00000e+00
10.912698u 1.56955e-01 3.00626e-04
11.408730u 1.40347e-01 2.27163e-04
11.904761u 1.23999e-01 3.20907e-04
12.400793u 1.07501e-01 2.97972e-04
12.896825u 9.10705e-02 3.14157e-04
13.392857u 7.44145e-02 2.27455e-04
13.888888u 5.79473e-02 2.30266e-04
14.384920u 4.15502e-02 2.98727e-04
14.880952u 2.51585e-02 3.55526e-04
15.376984u 8.70740e-03 3.64735e-04
15.873015u 4.40657e-04 8.95679e-03
16.369047u 3.24676e-04 2.52659e-02
16.865079u 3.25500e-04 4.17493e-02
17.361111u 3.26793e-04 5.82351e-02
17.857142u 3.26339e-04 7.47174e-02
18.353174u 3.26518e-04 9.12054e-02
18.849206u 3.26546e-04 1.07686e-01
19.345238u 3.26563e-04 1.24167e-01
19.841269u 3.26413e-04 1.40657e-01
20.337301u 3.26540e-04 1.57136e-01
20.833333u 3.25769e-04 1.73617e-01
21.329365u 3.26527e-04 1.90106e-01
21.825396u 3.26416e-04 2.06585e-01
22.321428u 3.26556e-04 2.23078e-01
22.817460u 3.26533e-04 2.39555e-01
23.313492u 3.26595e-04 2.56051e-01
23.809523u 3.26552e-04 2.72527e-01
24.305555u 3.26590e-04 2.89002e-01
24.801587u 3.26404e-04 3.05500e-01
25.297619u 3.26554e-04 3.21974e-01
25.793650u 3.26572e-04 3.38474e-01
26.289682u 4.07907e-04 3.55505e-01
26.785714u 4.07985e-04 3.76110e-01
27.281746u 4.07926e-04 3.96715e-01
27.777777u 4.07966e-04 4.17320e-01
28.273809u 4.00094e-04 4.37917e-01
28.769841u 4.07463e-04 4.58529e-01
29.265873u 4.07261e-04 4.79134e-01
29.761904u 4.07279e-04 4.99739e-01
30.257936u 4.07742e-04 5.20343e-01
30.753968u 4.07673e-04 5.40948e-01
31.250000u 5.18815e-01 5.60623e-01
