dly pw_up pw_down
0u 5.75236e-01 6.22400e-01
.496031u 5.60449e-01 1.61515e-03
.992063u 5.41770e-01 1.19484e-03
1.488095u 8.21218e-01 1.56126e-03
1.984126u 6.31718e-01 1.11984e-03
2.480158u 4.86890e-01 1.24457e-03
2.976190u 4.68242e-01 1.03102e-03
3.472222u 4.50680e-01 1.61964e-03
3.968253u 4.31691e-01 1.13343e-03
4.464285u 4.13499e-01 1.15989e-03
4.960317u 3.95286e-01 1.31556e-03
5.456349u 3.76882e-01 1.19211e-03
5.952380u 4.07801e-01 1.74867e-03
6.448412u 3.40577e-01 1.38818e-03
6.944444u 3.22168e-01 1.41194e-03
7.440476u 3.03770e-01 1.34933e-03
7.936507u 2.85328e-01 1.25392e-03
8.432539u 0.00000e+00 0.00000e+00
8.928571u 2.48650e-01 1.23834e-03
9.424603u 2.30519e-01 1.32852e-03
9.920634u 2.11798e-01 9.65384e-04
10.416666u 1.93630e-01 1.09486e-03
10.912698u 1.75547e-01 1.34356e-03
11.408730u 1.57385e-01 1.38299e-03
11.904761u 1.38685e-01 1.11130e-03
12.400793u 1.20506e-01 1.22522e-03
12.896825u 1.02421e-01 1.44811e-03
13.392857u 8.40697e-02 1.43373e-03
13.888888u 6.57037e-02 1.39244e-03
14.384920u 4.72741e-02 1.30606e-03
14.880952u 4.27106e-02 2.77938e-06
15.376984u 1.05887e-02 1.23830e-03
15.873015u 1.45617e-03 1.10075e-02
16.369047u 0.00000e+00 0.00000e+00
16.865079u 1.40295e-03 4.75277e-02
17.361111u 1.45291e-03 6.59518e-02
17.857142u 1.32859e-03 8.41076e-02
18.353174u 1.26221e-03 1.02373e-01
18.849206u 1.74579e-03 1.21164e-01
19.345238u 1.44909e-03 1.39115e-01
19.841269u 1.45044e-03 1.57469e-01
20.337301u 1.32663e-03 1.75687e-01
20.833333u 1.45614e-03 1.93992e-01
21.329365u 1.10122e-03 2.12101e-01
21.825396u 7.81769e-04 2.50864e-01
22.321428u 1.28582e-03 2.48874e-01
22.817460u 1.15342e-03 2.67032e-01
23.313492u 1.18441e-03 2.85430e-01
23.809523u 1.43956e-03 3.04041e-01
24.305555u 1.24490e-03 3.22162e-01
24.801587u 9.74056e-04 3.40139e-01
25.297619u 1.19742e-03 3.58658e-01
25.793650u 1.31643e-03 3.77167e-01
26.289682u 1.87818e-03 3.96677e-01
26.785714u 1.47363e-03 4.19155e-01
27.281746u 1.76602e-03 4.42318e-01
27.777777u 1.73736e-03 4.65181e-01
28.273809u 1.77737e-03 4.88065e-01
28.769841u 1.50479e-03 5.10674e-01
29.265873u 0.00000e+00 0.00000e+00
29.761904u 1.38550e-03 5.56360e-01
30.257936u 1.61805e-03 5.79516e-01
30.753968u 1.29567e-03 6.02119e-01
31.250000u 5.75616e-01 6.22134e-01
