dly pw_up pw_down
0u 5.18350e-01 5.60581e-01
.496031u 5.04911e-01 2.07670e-03
.992063u 4.88224e-01 1.85902e-03
1.488095u 4.72459e-01 2.53918e-03
1.984126u 4.56153e-01 2.60061e-03
2.480158u 4.39031e-01 2.09894e-03
2.976190u 4.79479e-01 1.90416e-03
3.472222u 4.05871e-01 1.95131e-03
3.968253u 3.89473e-01 1.94508e-03
4.464285u 3.72770e-01 1.71436e-03
4.960317u 3.56335e-01 1.85351e-03
5.456349u 3.39729e-01 1.74114e-03
5.952380u 3.23957e-01 2.40613e-03
6.448412u 3.07051e-01 1.92162e-03
6.944444u 2.90336e-01 1.63379e-03
7.440476u 2.74772e-01 2.71950e-03
7.936507u 2.57215e-01 1.63072e-03
8.432539u 2.40780e-01 1.67143e-03
8.928571u 2.24206e-01 1.58281e-03
9.424603u 3.24572e-01 9.18004e-04
9.920634u 1.91833e-01 2.18495e-03
10.416666u 1.75152e-01 1.91243e-03
10.912698u 1.59151e-01 2.34193e-03
11.408730u 1.42095e-01 1.83378e-03
11.904761u 1.25380e-01 1.64134e-03
12.400793u 1.08900e-01 1.66654e-03
12.896825u 0.00000e+00 0.00000e+00
13.392857u 7.60783e-02 1.70802e-03
13.888888u 5.98636e-02 2.02273e-03
14.384920u 6.63421e-02 1.61403e-03
14.880952u 2.67702e-02 1.94722e-03
15.376984u 0.00000e+00 0.00000e+00
15.873015u 2.01932e-03 1.05926e-02
16.369047u 1.28310e-03 2.62987e-02
16.865079u 1.66460e-03 4.30816e-02
17.361111u 1.89176e-03 5.98558e-02
17.857142u 2.09093e-03 7.65247e-02
18.353174u 1.36463e-03 9.23001e-02
18.849206u 1.30889e-03 1.08732e-01
19.345238u 1.42428e-03 1.40420e-01
19.841269u 2.24733e-03 1.42669e-01
20.337301u 0.00000e+00 0.00000e+00
20.833333u 2.04278e-03 2.19066e-01
21.329365u 1.81223e-03 1.91604e-01
21.825396u 2.03258e-03 2.08396e-01
22.321428u 1.67471e-03 2.24488e-01
22.817460u 1.86177e-03 2.41182e-01
23.313492u 1.65797e-03 2.57440e-01
23.809523u 1.52736e-03 2.73800e-01
24.305555u 1.67255e-03 2.90391e-01
24.801587u 2.83469e-03 3.08125e-01
25.297619u 1.23691e-03 3.38061e-01
25.793650u 2.30244e-03 3.40539e-01
26.289682u 2.46335e-03 3.57641e-01
26.785714u 2.17216e-03 3.77998e-01
27.281746u 2.21042e-03 3.98653e-01
27.777777u 2.11921e-03 4.19156e-01
28.273809u 2.73274e-03 4.40321e-01
28.769841u 1.92890e-03 4.80484e-01
29.265873u 2.05176e-03 4.80829e-01
29.761904u 2.52793e-03 5.01953e-01
30.257936u 2.06711e-03 5.22115e-01
30.753968u 2.21605e-03 5.42874e-01
31.250000u 5.18313e-01 5.60664e-01
