dly pw_up pw_down
0u 5.76536e-01 6.22842e-01
.496031u 5.58790e-01 1.64752e-04
.992063u 5.40481e-01 1.91213e-04
1.488095u 8.21734e-01 1.41316e-04
1.984126u 5.03908e-01 2.24204e-04
2.480158u 4.85580e-01 1.92744e-04
2.976190u 4.67217e-01 1.76100e-04
3.472222u 4.49092e-01 2.87852e-04
3.968253u 4.30703e-01 2.70385e-04
4.464285u 4.12422e-01 2.44016e-04
4.960317u 3.94219e-01 3.24463e-04
5.456349u 3.75723e-01 2.13348e-04
5.952380u 3.57269e-01 1.33083e-04
6.448412u 3.38957e-01 1.46334e-04
6.944444u 3.20706e-01 2.32959e-04
7.440476u 3.02497e-01 2.14729e-04
7.936507u 0.00000e+00 0.00000e+00
8.432539u 2.65754e-01 1.91351e-04
8.928571u 2.47472e-01 2.08391e-04
9.424603u 2.29259e-01 2.87722e-04
9.920634u 2.11001e-01 2.88880e-04
10.416666u 2.25754e-01 2.33582e-04
10.912698u 1.74159e-01 1.73005e-04
11.408730u 1.55934e-01 2.38879e-04
11.904761u 1.37615e-01 2.17194e-04
12.400793u 1.19331e-01 2.42545e-04
12.896825u 1.01026e-01 2.49218e-04
13.392857u 8.26665e-02 2.42377e-04
13.888888u 6.42912e-02 1.87137e-04
14.384920u 4.61197e-02 2.62833e-04
14.880952u 2.79062e-02 3.43144e-04
15.376984u 9.43366e-03 2.56250e-04
15.873015u 2.16377e-04 9.63988e-03
16.369047u 1.81881e-04 2.78936e-02
16.865079u 3.56467e-04 4.64605e-02
17.361111u 2.46933e-04 6.46377e-02
17.857142u 2.78560e-04 8.29648e-02
18.353174u 1.61084e-04 1.01135e-01
18.849206u 2.97943e-04 1.19538e-01
19.345238u 1.63820e-04 1.37769e-01
19.841269u 2.06145e-04 1.56131e-01
20.337301u 1.38827e-08 2.22975e-01
20.833333u 1.88275e-04 1.92736e-01
21.329365u 2.45321e-04 2.11155e-01
21.825396u 2.43563e-04 2.29464e-01
22.321428u 1.97918e-04 2.47725e-01
22.817460u 1.37531e-08 3.10046e-01
23.313492u 2.85761e-04 2.84416e-01
23.809523u 2.22196e-04 3.02678e-01
24.305555u 2.01113e-04 3.20967e-01
24.801587u 1.92187e-04 3.39267e-01
25.297619u 1.76636e-04 3.57582e-01
25.793650u 2.40288e-04 3.75928e-01
26.289682u 2.99644e-02 1.14538e+00
26.785714u 2.97796e-04 4.17724e-01
27.281746u 3.23723e-04 4.40673e-01
27.777777u 2.41828e-04 4.63447e-01
28.273809u 2.73485e-02 4.86491e-01
28.769841u 2.60041e-04 5.09323e-01
29.265873u 3.67375e-04 5.32293e-01
29.761904u 2.37748e-04 5.67124e-01
30.257936u 2.40952e-04 5.77921e-01
30.753968u 3.26069e-04 6.00901e-01
31.250000u 5.76530e-01 6.22884e-01
