dly pw_up pw_down
0u 5.19183e-01 5.60918e-01
.496031u 5.05478e-01 2.53914e-03
.992063u 4.87879e-01 1.36304e-03
1.488095u 6.12815e-01 1.30965e-03
1.984126u 4.55593e-01 2.06766e-03
2.480158u 0.00000e+00 0.00000e+00
2.976190u 4.21488e-01 8.96640e-04
3.472222u 5.08562e-01 2.75514e-03
3.968253u 3.89456e-01 1.77146e-03
4.464285u 3.73528e-01 2.44246e-03
4.960317u 3.58019e-01 3.37819e-03
5.456349u 3.39948e-01 1.73772e-03
5.952380u 3.22744e-01 1.09145e-03
6.448412u 3.06523e-01 1.31271e-03
6.944444u 2.89699e-01 9.32539e-04
7.440476u 4.28964e-01 1.04446e-03
7.936507u 2.60041e-01 4.37711e-03
8.432539u 4.39739e-01 1.16431e-03
8.928571u 4.28379e-01 2.08464e-03
9.424603u 2.08777e-01 2.55086e-03
9.920634u 3.15809e-01 2.00433e-03
10.416666u 3.90176e-01 1.64536e-03
10.912698u 1.59754e-01 2.93483e-03
11.408730u 0.00000e+00 0.00000e+00
11.904761u 1.25442e-01 1.67182e-03
12.400793u 1.08869e-01 1.48609e-03
12.896825u 2.41153e-01 1.48122e-03
13.392857u 7.59169e-02 1.50520e-03
13.888888u 3.04437e-01 2.49414e-03
14.384920u 1.72407e-01 1.92249e-03
14.880952u 2.66206e-02 1.67728e-03
15.376984u 1.00665e-02 1.59941e-03
15.873015u 3.81884e-03 1.23120e-02
16.369047u 1.42702e-03 2.63398e-02
16.865079u 1.76566e-03 4.31603e-02
17.361111u 2.88439e-01 6.16012e-02
17.857142u 1.11913e-01 7.59732e-02
18.353174u 1.89042e-03 9.27602e-02
18.849206u 1.22135e-03 1.08681e-01
19.345238u 9.95148e-02 1.25195e-01
19.841269u 1.44334e-03 1.41861e-01
20.337301u 1.80484e-03 1.58615e-01
20.833333u 2.09379e-03 1.75411e-01
21.329365u 9.76183e-04 1.90894e-01
21.825396u 1.60544e-03 2.07870e-01
22.321428u 2.04960e-01 2.24328e-01
22.817460u 1.89816e-03 2.41178e-01
23.313492u 2.59547e-03 2.58362e-01
23.809523u 1.44296e-03 2.73780e-01
24.305555u 2.18633e-03 2.90926e-01
24.801587u 1.84237e-01 3.07568e-01
25.297619u 1.31685e-03 3.23069e-01
25.793650u 2.40683e-03 3.40687e-01
26.289682u 3.71000e-03 3.58879e-01
26.785714u 2.27413e-03 3.77977e-01
27.281746u 3.37332e-03 3.99657e-01
27.777777u 1.60573e-01 4.19633e-01
28.273809u 3.41438e-03 4.40909e-01
28.769841u 2.54609e-03 4.60847e-01
29.265873u 2.33329e-03 4.81021e-01
29.761904u 2.03729e-03 5.01466e-01
30.257936u 3.33783e-03 5.23356e-01
30.753968u 2.28885e-03 5.43018e-01
31.250000u 5.19169e-01 5.60895e-01
