dly pw_up pw_down
0u 5.76915e-01 6.23079e-01
.496031u 1.04992e+00 2.59249e-03
.992063u 1.19800e+00 2.54036e-03
1.488095u 0.00000e+00 0.00000e+00
1.984126u 8.75129e-01 2.85147e-03
2.480158u 6.09735e-01 2.65558e-03
2.976190u 8.11124e-01 2.90724e-03
3.472222u 5.94240e-01 2.26887e-03
3.968253u 9.34820e-01 2.68464e-03
4.464285u 6.49072e-01 9.81425e-04
4.960317u 1.05495e+00 2.85033e-03
5.456349u 1.05480e+00 2.81273e-03
5.952380u 8.98864e-01 2.99171e-03
6.448412u 6.87127e-01 2.53339e-03
6.944444u 5.76652e-01 2.74947e-03
7.440476u 9.86432e-01 3.10920e-03
7.936507u 9.81567e-01 2.49248e-03
8.432539u 1.05509e+00 2.15593e-03
8.928571u 8.43744e-01 2.85622e-03
9.424603u 3.74307e-01 2.02831e-03
9.920634u 9.63219e-01 2.25463e-03
10.416666u 3.37403e-01 1.80466e-03
10.912698u 8.07335e-01 2.37985e-03
11.408730u 6.54976e-01 2.18386e-03
11.904761u 5.48821e-01 1.89650e-03
12.400793u 7.79562e-01 3.43248e-03
12.896825u 7.92598e-01 2.77808e-03
13.392857u 1.19798e+00 2.71010e-03
13.888888u 5.11882e-01 1.80419e-03
14.384920u 4.66736e-01 2.74399e-03
14.880952u 6.37404e-01 2.51745e-03
15.376984u 1.19765e+00 2.38835e-03
15.873015u 1.04862e+00 1.20097e-02
16.369047u 8.90015e-01 2.98702e-02
16.865079u 1.14237e+00 5.80748e-02
17.361111u 3.19871e-01 6.73726e-02
17.857142u 2.69328e-01 8.51272e-02
18.353174u 6.44527e-01 1.03834e-01
18.849206u 8.21438e-01 1.21470e-01
19.345238u 3.64362e-01 1.39777e-01
19.841269u 6.90147e-01 1.58119e-01
20.337301u 9.24071e-01 1.76675e-01
20.833333u 1.93674e-01 1.95261e-01
21.329365u 5.61974e-01 2.13628e-01
21.825396u 4.62703e-01 2.31502e-01
22.321428u 0.00000e+00 0.00000e+00
22.817460u 4.90626e-01 2.68588e-01
23.313492u 8.42209e-01 2.86270e-01
23.809523u 4.93677e-01 3.04403e-01
24.305555u 4.80300e-01 3.22881e-01
24.801587u 6.68389e-01 3.42404e-01
25.297619u 2.54222e-01 3.59841e-01
25.793650u 4.38434e-01 3.77919e-01
26.289682u 6.13950e-01 3.98359e-01
26.785714u 1.87723e-01 4.20509e-01
27.281746u 3.63169e-01 4.43602e-01
27.777777u 2.42350e-01 4.82005e-01
28.273809u 1.98702e-02 1.18958e+00
28.769841u 5.10116e-01 5.22296e-01
29.265873u 5.04433e-01 5.35169e-01
29.761904u 1.60666e-01 5.58394e-01
30.257936u 3.15778e-01 5.80451e-01
30.753968u 4.46373e-01 6.03597e-01
31.250000u 5.16345e-01 6.84024e-01
