dly pw_up pw_down
0u 4.76062e-01 8.43170e-01
.496031u 6.15092e-01 6.11324e-04
.992063u 5.94889e-01 5.51350e-04
1.488095u 5.74657e-01 5.12801e-04
1.984126u 5.54571e-01 5.32897e-04
2.480158u 5.34427e-01 5.46004e-04
2.976190u 5.14307e-01 5.28023e-04
3.472222u 4.94226e-01 6.05577e-04
3.968253u 4.74000e-01 5.77922e-04
4.464285u 4.53829e-01 5.39425e-04
4.960317u 4.33643e-01 5.19734e-04
5.456349u 4.13607e-01 5.63518e-04
5.952380u 3.93425e-01 5.46437e-04
6.448412u 3.73230e-01 5.29446e-04
6.944444u 3.53071e-01 5.20297e-04
7.440476u 3.32901e-01 5.10127e-04
7.936507u 3.13077e-01 7.40192e-04
8.432539u 2.92638e-01 5.28101e-04
8.928571u 2.72673e-01 6.96456e-04
9.424603u 2.52351e-01 5.36808e-04
9.920634u 2.32207e-01 5.24889e-04
10.416666u 2.12162e-01 6.03116e-04
10.912698u 1.91895e-01 5.07165e-04
11.408730u 1.71894e-01 6.30608e-04
11.904761u 1.51759e-01 6.42561e-04
12.400793u 1.31435e-01 5.09415e-04
12.896825u 1.11401e-01 6.05541e-04
13.392857u 9.13123e-02 6.31272e-04
13.888888u 7.10984e-02 5.74646e-04
14.384920u 5.09727e-02 6.04915e-04
14.880952u 3.07365e-02 5.37804e-04
15.376984u 1.06900e-02 6.17674e-04
15.873015u 5.34670e-04 1.08669e-02
16.369047u 6.77125e-04 3.11795e-02
16.865079u 8.07233e-04 5.14693e-02
17.361111u 6.57539e-04 7.14477e-02
17.857142u 6.48314e-04 9.15840e-02
18.353174u 7.58937e-04 1.11852e-01
18.849206u 9.36707e-04 1.32180e-01
19.345238u 8.56547e-04 1.52238e-01
19.841269u 6.70160e-04 1.72174e-01
20.337301u 7.09826e-04 1.92372e-01
20.833333u 7.93442e-04 2.12608e-01
21.329365u 8.02014e-04 2.32783e-01
21.825396u 7.35571e-04 2.52856e-01
22.321428u 8.11742e-04 2.73088e-01
22.817460u 6.89084e-04 2.93088e-01
23.313492u 8.18632e-04 3.13357e-01
23.809523u 7.78710e-04 3.33471e-01
24.305555u 7.04442e-04 3.53555e-01
24.801587u 7.96826e-04 3.73767e-01
25.297619u 7.61999e-04 3.93923e-01
25.793650u 8.29533e-04 4.14106e-01
26.289682u 9.61776e-04 4.34941e-01
26.785714u 8.23644e-04 4.60021e-01
27.281746u 8.60224e-04 4.85209e-01
27.777777u 8.31424e-04 5.10377e-01
28.273809u 8.50128e-04 5.35574e-01
28.769841u 8.64279e-04 5.60778e-01
29.265873u 9.61461e-04 5.86060e-01
29.761904u 8.80631e-04 6.11162e-01
30.257936u 8.88429e-04 6.36350e-01
30.753968u 9.50208e-04 6.61599e-01
31.250000u 6.34166e-01 6.84987e-01
